OrderID,ProductID,Quantity,Price,OrderDate
1,102,2,26.68,2024-01-14
2,102,2,15.92,2023-04-27
3,105,5,22.16,2023-11-02
4,104,4,13.35,2022-02-01
5,106,2,21.17,2021-06-22
6,104,1,25.9,2022-12-12
7,102,2,14.54,2023-06-22
8,104,3,13.77,2022-11-23
9,107,4,17.93,2023-10-21
10,105,2,28.63,2022-12-15
11,105,3,25.9,2024-01-08
12,103,1,11.49,2023-06-26
13,104,2,21.97,2021-12-05
14,105,4,11.11,2022-11-04
15,107,2,28.81,2024-01-18
16,103,5,12.68,2022-08-21
17,106,1,26.51,2021-11-28
18,103,4,27.89,2023-03-19
19,104,3,25.64,2022-06-05
20,106,3,25.93,2023-05-10
21,104,1,11.74,2022-06-21
22,107,3,23.36,2023-09-13
23,101,1,10.7,2023-09-03
24,105,2,18.24,2022-09-21
25,102,3,21.79,2022-04-02
26,105,3,27.97,2022-09-07
27,106,4,15.49,2021-10-27
28,104,1,21.26,2022-05-07
29,103,2,25.22,2021-06-14
30,104,2,27.32,2022-03-01
31,107,4,23.75,2023-03-20
32,102,4,10.75,2021-04-14
33,103,1,13.25,2021-10-25
34,103,5,19.67,2021-09-16
35,103,3,11.01,2023-02-24
36,107,2,20.51,2023-01-05
37,101,2,14.97,2022-12-16
38,104,4,22.5,2024-02-08
39,102,3,21.99,2024-01-25
40,102,3,20.51,2021-07-12
41,103,5,16.82,2022-03-15
42,103,5,11.69,2023-02-08
43,107,5,21.11,2022-03-06
44,107,3,22.77,2021-04-26
45,105,4,29.85,2023-04-30
46,107,5,24.87,2022-12-10
47,103,4,22.43,2022-03-20
48,105,3,20.6,2023-01-30
49,101,4,21.59,2022-01-04
50,105,3,13.23,2023-01-28
51,102,5,21.37,2022-02-21
52,107,4,21.11,2021-10-19
53,103,2,13.74,2023-04-22
54,103,1,14.78,2022-12-17
55,102,5,17.05,2023-02-17
56,105,1,28.67,2021-02-28
57,102,5,19.66,2022-04-12
58,104,1,27.12,2021-03-31
59,101,2,10.24,2022-01-01
60,105,4,24.55,2023-04-22
61,107,3,11.7,2023-11-19
62,103,4,11.61,2022-10-31
63,101,1,15.9,2021-11-05
64,105,5,16.92,2022-01-02
65,103,2,24.33,2021-04-08
66,107,4,24.37,2023-02-16
67,105,1,24.37,2021-09-10
68,101,3,21.13,2023-08-07
69,106,2,20.74,2024-02-12
